PropertyID,Month,Rent
MH 1314,2025-08,10412.54
MH 1314,2025-09,29507.16
MH 1314,2025-10,38126.06
MH 1314,2025-11,35858.17
MH 1314,2025-12,40950.7
MH 1314,2026-01,34012.72
MH 1314,2026-02,35702.48
MH 1314,2026-03,33724.27
MH 1314,2026-04,37170.49
MH 3001,2025-08,29611.54
MH 3001,2025-09,36613.51
MH 3001,2025-10,45510.02
MH 3001,2025-11,41509.95
MH 3001,2025-12,42161.03
MH 3001,2026-01,39104.87
MH 3001,2026-02,39576.37
MH 3001,2026-03,40908.55
MH 3001,2026-04,48069.05
MH 1252,2025-08,32301.71
MH 1252,2025-09,36719.02
MH 1252,2025-10,49610.9
MH 1252,2025-11,49291.64
MH 1252,2025-12,52398.12
MH 1252,2026-01,41183.01
MH 1252,2026-02,44012.52
MH 1252,2026-03,42039.2
MH 1252,2026-04,48129.56
MH 1326,2025-08,51239.7
MH 1326,2025-09,51308.81
MH 1326,2025-10,49870.95
MH 1326,2025-11,75940.01
MH 1326,2025-12,67780.74
MH 1326,2026-01,71462.89
MH 1326,2026-02,66644.43
MH 1326,2026-03,67980.64
MH 1326,2026-04,73217.49
MH 1186,2025-08,45331.55
MH 1186,2025-09,29170.51
MH 1186,2025-10,57739.03
MH 1186,2025-11,43247.88
MH 1186,2025-12,47782.61
MH 1186,2026-01,39604.12
MH 1186,2026-02,46219.36
MH 1186,2026-03,41993.35
MH 1186,2026-04,47205.61
MH 1419,2025-08,24181.74
MH 1419,2025-09,27824.82
MH 1419,2025-10,38086.9
MH 1419,2025-11,33200.86
MH 1419,2025-12,38469.33
MH 1419,2026-01,25316.57
MH 1419,2026-02,24253.41
MH 1419,2026-03,28361.53
MH 1419,2026-04,30027.85
MH 1530,2025-08,20757.11
MH 1530,2025-09,28716.73
MH 1530,2025-10,26831.08
MH 1530,2025-11,15883.45
MH 1530,2025-12,21969.91
MH 1530,2026-01,17809.91
MH 1530,2026-02,23338.48
MH 1530,2026-03,21564.44
